result,similarity,topK,shrink,tversky_alpha,tversky_beta,asymmetric_alpha
0.029710200430265604,asymmetric,19.0,8.0,,,0.14678267587811913
0.0282841979594306,asymmetric,54.0,3.0,,,0.12511543531112804
0.030278464261007026,asymmetric,5.0,6.0,,,0.14138474779184304
0.03042744766298779,asymmetric,5.0,7.0,,,0.14402343213512012
0.03051633682996082,asymmetric,7.0,8.0,,,0.11585980987490632
0.03019406382696086,asymmetric,11.0,8.0,,,0.11028447911147443
0.027469542921099564,asymmetric,80.0,0.0,,,0.11509236215440889
0.029743792522756673,asymmetric,21.0,14.0,,,0.1268389594863297
0.02981269851035386,asymmetric,16.0,8.0,,,0.07170258191889035
0.030567188974046183,asymmetric,8.0,10.0,,,0.12768925899302405
0.030602630329943103,asymmetric,8.0,11.0,,,0.13030551212491975
0.029594602548655834,asymmetric,23.0,11.0,,,0.12729365539084397
0.02974625521165667,asymmetric,8.0,3.0,,,0.1329774418242538
0.030741304277784633,asymmetric,7.0,15.0,,,0.13274186941110777
0.030411486366712377,asymmetric,11.0,15.0,,,0.09529313444017987
0.030086742065370774,asymmetric,15.0,15.0,,,0.09993225579670513
0.03020875489012425,asymmetric,12.0,10.0,,,0.08036855035385024
0.02990617447428883,asymmetric,17.0,10.0,,,0.1298209814602638
0.03040755329767602,asymmetric,11.0,16.0,,,0.11944583798588407
0.02857853332327238,dice,14.0,7.0,,,
0.029496681120729912,asymmetric,7.0,3.0,,,0.08873104216398485
0.02890863202956918,cosine,10.0,11.0,,,
0.03032849965577968,asymmetric,12.0,16.0,,,0.11791870623132791
0.03074136955346731,asymmetric,7.0,15.0,,,0.13704359298891727
0.03067715825866399,asymmetric,7.0,19.0,,,0.13599014580817717
0.030680390011078185,asymmetric,7.0,19.0,,,0.13626679344709808
0.030623182925522314,asymmetric,8.0,18.0,,,0.13537848731533952
0.030544649578195138,asymmetric,8.0,20.0,,,0.13556554784397204
0.029777826337434456,asymmetric,19.0,19.0,,,0.13572494555648026
0.028714129234027684,dice,15.0,22.0,,,
0.030544435886347466,asymmetric,8.0,20.0,,,0.135358492911828
0.02861172639108493,cosine,14.0,18.0,,,
0.030503068817687023,asymmetric,9.0,19.0,,,0.1365089136890144
0.030630035927779485,asymmetric,8.0,17.0,,,0.1338485911506275
0.030735559537031953,asymmetric,7.0,17.0,,,0.13430826065343748
0.030748464071112515,asymmetric,7.0,17.0,,,0.12617601740578305
0.02797421363638804,asymmetric,69.0,17.0,,,0.13741115246454066
0.03049570835231371,asymmetric,10.0,14.0,,,0.06045193483428955
0.03009540263038189,asymmetric,13.0,23.0,,,0.12630098055366545
0.030721925289751956,asymmetric,7.0,17.0,,,0.1403598937711039
0.03073218019700242,asymmetric,7.0,17.0,,,0.025984650614222227
0.030716967696395953,asymmetric,7.0,17.0,,,0.008213282861831626
0.030452224312616977,asymmetric,10.0,17.0,,,0.0002527113876032612
0.03072365346427989,asymmetric,7.0,15.0,,,0.011843388064133358
0.030698488786862387,asymmetric,6.0,14.0,,,0.011523687154233297
0.028596574383343714,asymmetric,46.0,13.0,,,0.010159855270308011
0.030736918769751532,asymmetric,6.0,15.0,,,0.01348436598738291
0.029333608553963282,dice,6.0,15.0,,,
0.03027302316574672,asymmetric,12.0,14.0,,,0.014706176113748236
0.028926393072549184,cosine,10.0,12.0,,,
0.03077093449957048,asymmetric,6.0,16.0,,,0.027505755116038835
0.028353893476374025,asymmetric,54.0,16.0,,,0.027352809528190844
0.030744450237130468,asymmetric,6.0,15.0,,,0.02063333248664806
0.030743702933589263,asymmetric,6.0,15.0,,,0.02281043604175397
0.03029335162800369,asymmetric,11.0,12.0,,,0.025081345023854968
0.030770419574461565,asymmetric,6.0,15.0,,,0.042853918330983766
0.030772534046485507,asymmetric,6.0,15.0,,,0.037763980930551
0.030769425133122995,asymmetric,5.0,16.0,,,0.04241594608984876
0.030701864143761803,asymmetric,5.0,13.0,,,0.04866124181384188
